Modelo,Accuracy,Precision (weighted),Recall (weighted),F1-Score (weighted)
Gaussian Naive Bayes,0.8818,0.899,0.8818,0.8837
Decision Tree (max_depth=6),0.8848,0.8853,0.8848,0.8849
